TI83333S000001	b0001	thrL	thr operon leader peptide
TI83333S003375	b3499	yhiR	hypothetical protein
TI83333S003376	b3500	gor	glutathione reductase
TI83333S003377	b3501	arsR	transcriptional repressor for arsenical resistance (ArsR family)
TI83333S003378	b3502	arsB	arsenical pump (Ars family)
TI83333S003379	b3503	arsC	arsenate reductase
TI83333S003380	b3504	yhiS	hypothetical protein
TI83333S003381	b3505	b3505	IS5 protein 11
TI83333S003382	b3506	slp	outer membrane protein induced after carbon starvation
TI83333S003383	b3507	dctR	putative transcriptional regulator (LuxR/UhpA family)
TI83333S003384	b3508	yhiD	putative Mg(2+) transport ATPase
TI83333S003385	b3509	hdeB	hypothetical protein
TI83333S003386	b3510	hdeA	hypothetical protein
TI83333S003387	b3511	hdeD	hypothetical protein
TI83333S003388	b3512	gadE	putative regulator
TI83333S003389	b3513	mdtE	multidrug resistance protein (lipoprotein)
TI83333S003390	b3514	mdtF	"multidrug transport protein, RpoS-dependent (RND family)"
TI83333S003391	b3515	gadW	putative ARAC-type regulatory protein
TI83333S003392	b3516	gadX	putative ARAC-type regulatory protein
TI83333S003393	b3517	gadA	"glutamate decarboxylase A, isozyme, PLP-dependent"
TI83333S003394	b3518	yhjA	putative cytochrome C peroxidase
TI83333S003395	b3519	treF	cytoplasmic trehalase
TI83333S003396	b3520	yhjB	putative regulator
TI83333S003397	b3521	yhjC	putative transcriptional regulator (LysR family)
TI83333S003398	b3522	yhjD	hypothetical protein
TI83333S003399	b3523	yhjE	putative transport protein
TI83333S003400	b3524	yhjG	hypothetical protein
TI83333S003401	b3525	yhjH	hypothetical protein
TI83333S003402	b3526	kdgK	ketodeoxygluconokinase
TI83333S003403	b3527	yhjJ	putative peptidase
TI83333S003404	b3528	dctA	C4-dicarboxylate transport protein
TI83333S003405	b3529	yhjK	hypothetical protein
TI83333S003406	b3530	bcsC	putative cellulose synthase
TI83333S003407	b3531	bcsZ	"endo-1,4-D-glucanase"
TI83333S003408	b3532	bcsB	putative cellulose synthase
TI83333S003409	b3533	bcsA	putative cellulose synthase
TI83333S003410	b3534	yhjQ	hypothetical protein
TI83333S003411	b3535	yhjR	unknown CDS
TI83333S003412	b3536	bcsE	hypothetical protein
TI83333S003413	b3537	bcsF	unknown CDS
TI83333S003414	b3538	bcsG	hypothetical protein
TI83333S003415	b4453		small toxic polypeptide
TI83333S003416	b3539	yhjV	putative transport protein (HAAAP family)
TI83333S003417	b3540	dppF	"dipeptide transport protein (ABC superfamily, atp_bind)"
TI83333S003418	b3541	dppD	"dipeptide transport protein (ABC superfamily, atp_bind)"
TI83333S003419	b3542	dppC	"dipeptide transport protein 2 (ABC superfamily, membrane)"
TI83333S003420	b3543	dppB	"dipeptide transport protein 1 (ABC superfamily, membrane)"
TI83333S003421	b3544	dppA	dipeptide transport protein
TI83333S003422	b3546	yhjW	putative transmembrane protein
TI83333S003423	b3547	yhjX	putative oxalate:formate antiporter (MFS family)
TI83333S003424	b3548	yhjY	putative lipase
TI83333S003425	b3549	tag	"3-methyl-adenine DNA glycosylase I, constitutive"
TI83333S003426	b3550	yiaC	putative acetyltransferase
TI83333S003427	b3551	bisC	biotin sulfoxide reductase
TI83333S003428	b3552	yiaD	putative outer membrane protein
TI83333S003429	b3553	ghrB	2-hydroxyacid dehydrogenase
TI83333S003430	b3554	yiaF	hypothetical protein
TI83333S003431	b3555	yiaG	putative transcriptional regulator
TI83333S003432	b3556	cspA	"cold shock protein 7.4, transcriptional activator of hns"
TI83333S003433	b4455		small toxic membrane polypeptide
TI83333S003434	b3557	yi5A	IS150 hypothetical protein
TI83333S003435	b3558	yi5B	IS150 putative transposase
TI83333S003436	b3559	glyS	glycyl-tRNA synthetase beta subunit
TI83333S003437	b3560	glyQ	glycyl-tRNA synthetase alpha subunit
TI83333S003438	b3561	yiaH	hypothetical protein
TI83333S003439	b3562	yiaA	hypothetical protein
TI83333S003440	b3563	yiaB	hypothetical protein
TI83333S003441	b3564	xylB	xylulokinase
TI83333S003442	b3565	xylA	xylose isomerase
TI83333S003443	b3566	xylF	"D-xylose transport protein (ABC superfamily, peri_bind)"
TI83333S003444	b3567	xylG	"D-xylose transport protein (ABC superfamily, atp_bind)"
TI83333S003445	b3568	xylH	"D-xylose transport permease (ABC superfamily, membrane)"
TI83333S003446	b3569	xylR	putative regulator of xyl operon
TI83333S003447	b3570	bax	putative ATP-binding protein
TI83333S003448	b3571	malS	periplasmic alpha-amylase precursor
TI83333S003449	b3572	avtA	valine--pyruvate transaminase
TI83333S003450	b3573	ysaA	"putative oxidoreductase, Fe-S protein"
TI83333S003451	b3574	yiaJ	transcriptional repressor (IclR family)
TI83333S003452	b3575	yiaK	"2,3-diketo-L-gulonate dehydrogenase, NADH-dependent"
TI83333S003453	b3576	yiaL	putative lipase
TI83333S003454	b3577	yiaM	putative transport protein
TI83333S003455	b3578	yiaN	putative component of transport system
TI83333S003456	b3579	yiaO	putative periplasmic component of transport system
TI83333S003457	b3580	lyxK	3-keto-L-gulonate kinase
TI83333S003458	b3581	sgbH	3-keto-L-gulonate 6-phosphate decarboxylase
TI83333S003459	b3582	sgbU	3-epimerase
TI83333S003460	b3583	sgbE	L-ribulose-5-phosphate 4-epimerase
TI83333S003461	b3584	yiaT	putative outer membrane protein
TI83333S003462	b3585	yiaU	putative transcriptional regulator (LysR family)
TI83333S003463	b3586	yiaV	"putative membrane protein, efflux pump"
TI83333S003464	b3587	yiaW	unknown CDS
TI83333S003465	b3588	aldB	aldehyde dehydrogenase B (lactaldehyde dehydrogenase)
TI83333S003466	b3589	yiaY	putative alcohol dehydrogenase
TI83333S003467	b3590	selB	selenocysteinyl-tRNA-specific translation factor
TI83333S003468	b3591	selA	selenocysteine synthase
TI83333S003469	b3592	yibF	putative S-transferase
TI83333S003470	b3593	rhsA	RhsA protein in RhsA element
TI83333S003471	b3594	yibA	putative lyase
TI83333S003472	b3595	yibJ	putative rhs protein
TI83333S003473	b3596	yibG	hypothetical protein
TI83333S003474	b3597	yibH	hypothetical protein
TI83333S003475	b3598	yibI	unknown CDS
TI83333S003476	b3599	mtlA	"PTS family enzyme IICB (N-terminal); enzyme IIA (C-terminal), mannitol-specific"
TI83333S003477	b3600	mtlD	mannitol-1-phosphate 5-dehydrogenase
TI83333S003478	b3601	mtlR	repressor for mtl
TI83333S003479	b3602	yibL	hypothetical protein
TI83333S003480	b3603	lctP	L-lactate permease
TI83333S003481	b3604	lctR	putative transcriptional repressor for L-lactate utilization (GntR family)
TI83333S003482	b3605	lctD	L-lactate dehydrogenase
TI83333S003483	b3606	yibK	putative tRNA/rRNA methyltransferase
TI83333S003484	b3607	cysE	serine acetyltransferase
TI83333S003485	b3608	gpsA	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
TI83333S003486	b3609	secB	export protein SecB
TI83333S003487	b3610	grxC	glutaredoxin 3
TI83333S003488	b3611	yibN	putative phosphatase
TI83333S003489	b3612	pgmI	phosphoglyceromutase
TI83333S003490	b3613	envC	"protease, membrane-associated"
TI83333S003491	b3614	yibQ	hypothetical protein
TI83333S003492	b3615	yibD	putative glycosyltransferase
TI83333S003493	b3616	tdh	L-threonine 3-dehydrogenase
TI83333S003494	b3617	kbl	2-amino-3-ketobutyrate coenzyme A ligase
TI83333S003495	b3618	htrL	involved in lipopolysaccharide biosynthesis
TI83333S003496	b3619	rfaD	ADP-L-glycero-D-mannoheptose-6-epimerase
TI83333S003497	b3620	rfaF	ADP-heptose--lps heptosyltransferase II; lipopolysaccharide core biosynthesis
TI83333S003498	b3621	rfaC	ADP-heptose; LPS heptosyl transferase I
TI83333S003499	b3622	rfaL	O-antigen ligase
TI83333S003500	b3623	rfaK	probably hexose transferase; lipopolysaccharide core biosynthesis
TI83333S003501	b3624	rfaZ	lipopolysaccharide core biosynthesis
TI83333S003502	b3625	rfaY	lipopolysaccharide core biosynthesis
TI83333S003503	b3626	rfaJ	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase
TI83333S003504	b3627	rfaI	"UDP-D-galactose:(glucosyl)lipopolysaccharide- alpha-1,3-D-galactosyltransferase"
TI83333S003505	b3628	rfaB	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1, 6- D-galactosyltransferase"
TI83333S003506	b3629	rfaS	lipopolysaccharide core biosynthesis
TI83333S003507	b3630	waaP	lipopolysaccharide core biosynthesis; kinase for core heptose of lipopolysaccharide
TI83333S003508	b3631	rfaG	glucosyltransferase I
TI83333S003509	b3632	rfaQ	lipopolysaccharide core biosynthesis
TI83333S003510	b3633	kdtA	3-deoxy-D-manno-octulosonic-acid transferase
TI83333S003511	b3634	coaD	phosphopantetheine adenylyltransferase
TI83333S003512	b3635	mutM	formamidopyrimidine-DNA glycosylase
TI83333S003513	b3636	rpmG	50S ribosomal protein L33
TI83333S003514	b3637	rpmB	50S ribosomal protein L28
TI83333S003515	b3638	radC	DNA repair protein RadC
TI83333S003516	b3639	dfp	phosphopantothenoylcysteine synthase/decarboxylase
TI83333S003517	b3640	dut	deoxyuridine 5'-triphosphate nucleotidohydrolase
TI83333S003518	b3641	ttk	nucleoid occlusion protein
TI83333S003519	b3642	pyrE	orotate phosphoribosyltransferase
TI83333S003520	b3643	rph	ribonuclease PH
TI83333S003521	b3644	yicC	putative alpha helix protein
TI83333S003522	b3645	dinD	DNA-damage-inducible protein
TI83333S003523	b3646	yicG	hypothetical protein
TI83333S003524	b3647	ligB	DNA ligase
TI83333S003525	b3648	gmk	guanylate kinase
TI83333S003526	b3649	rpoZ	DNA-directed RNA polymerase omega subunit
TI83333S003527	b3650	spoT	"(p)ppGpp synthetase II; also guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
TI83333S003528	b3651	trmH	putative tRNA/rRNA methyltransferase
TI83333S003529	b3652	recG	"DNA helicase, ATP-dependent resolution of Holliday junctions, branch migration"
TI83333S003530	b3653	gltS	glutamate transport
TI83333S003531	b3654	yicE	putative purine/xanthine transport protein (NCS2 family)
TI83333S003532	b3655	yicH	hypothetical protein
TI83333S003533	b3656	yicI	putative alpha-xylosidase
TI83333S003534	b3657	yicJ	putative permease
TI83333S003535	b3659	setC	putative sugar transport protein (MFS family)
TI83333S003536	b3660	yicL	"putative membrane protein, transport"
TI83333S003537	b3661	nlpA	lipoprotein-28
TI83333S003538	b3662	yicM	putative tranport protein (MFS family)
TI83333S003539	b3663	yicN	hypothetical protein
TI83333S003540	b3664	yicO	hypothetical protein
TI83333S003541	b3665	ade	Mn-dependent adenine deaminase (cryptic)
TI83333S003542	b3666	uhpT	hexose phosphate transport protein
TI83333S003543	b3667	uhpC	"membrane protein which senses glucose-6-phosphate, interacts with UhpB and UhpA, regulates uhpT expression"
TI83333S003544	b3668	uhpB	sensor histidine protein kinase phosphorylates UhpA
TI83333S003545	b3669	uhpA	"response regulator (activator) in two-component regulatory system wtih UhpB, regulates uhpT expression (LuxR/UhpA family)"
TI83333S003546	b3670	ilvN	acetolactate synthase small subunit
TI83333S003547	b3671	ilvB	acetolactate synthase large subunit
TI83333S003548	b3672	ivbL	ilvB operon leader peptide
TI83333S003549	b3673	emrD	2-module integral membrane pump; multidrug resistance
TI83333S003550	b3674	yidF	putative regulator
TI83333S003551	b3675	yidG	hypothetical protein
TI83333S003552	b3676	yidH	hypothetical protein
TI83333S003553	b3677	yidI	unknown CDS
TI83333S003554	b3678	yidJ	putative phosphatase/sulfatase
TI83333S003555	b3679	yidK	putative cotransporter
TI83333S003556	b3680	yidL	putative ARAC-type regulatory protein
TI83333S003557	b3681	glvG	probable 6-phospho-beta-glucosidase
TI83333S003558	b3682	glvB	"PTS family enzyme IIB, glucose-glucoside-specific (arbutin-like)"
TI83333S003559	b3683	glvC	"PTS family enzyme IIC, glucose-glucoside-specific (arbutin-like)"
TI83333S003560	b3684	yidP	putative transcriptional regulator
TI83333S003561	b3685	yidE	hypothetical protein
TI83333S003562	b3686	ibpB	heat shock protein
TI83333S003563	b3687	ibpA	heat shock protein
TI83333S003564	b3688	ecfI	hypothetical protein
TI83333S003565	b3689	yidR	hypothetical protein
TI83333S003566	b3690	yidS	putative oxidoreductase with FAD/NAD(P)-binding domain
TI83333S003567	b3691	dgoT	D-galactonate transport
TI83333S003568	b4478		galactonate dehydratase
TI83333S003569	b4477		keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase
TI83333S003570	b3693	dgoK	2-oxo-3-deoxygalactonate kinase
TI83333S003571	b4479		transcriptional repressor for galactonate utilization (GntR family)
TI83333S003572	b3696	yidX	putative replicase EC 2.7.-
TI83333S003573	b3697	yidA	"conserved protein, phophatase-like domain"
TI83333S003574	b3698	yidB	hypothetical protein
TI83333S003575	b3699	gyrB	DNA gyrase subunit B
TI83333S003576	b3700	recF	recombination protein F
TI83333S003577	b3701	dnaN	DNA polymerase III subunit beta
TI83333S003578	b3702	dnaA	chromosomal replication initiation protein
TI83333S003579	b3703	rpmH	50S ribosomal protein L34
TI83333S003580	b3704	rnpA	ribonuclease P
TI83333S003581	b3705	yidC	inner membrane protein translocase component YidC
TI83333S003582	b3706	trmE	tRNA modification GTPase
TI83333S003583	b3707	tnaC	tryptophanase leader peptide
TI83333S003584	b3708	tnaA	"tryptophan deaminase, PLP-dependent"
TI83333S003585	b3709	tnaB	low affinity tryptophan permease
TI83333S003586	b3710	mdtL	drug/chloramphenicol transport protein (MFS family)
TI83333S003587	b3711	yidZ	putative transcriptional regulator (LysR family)
TI83333S003588	b3712	yieE	hypothetical protein
TI83333S003589	b3713	yieF	"putative oxidoreductase, flavoprotein"
TI83333S003590	b3714	yieG	putative membrane / transport protein
TI83333S003591	b3715	yieH	putative enzyme with a phophatase-like domain
TI83333S003592	b3716	yieI	hypothetical protein
TI83333S003593	b3717	yieJ	hypothetical protein
TI83333S003594	b3718	yieK	hypothetical protein
TI83333S003595	b3719	yieL	putative xylanase
TI83333S003596	b3720	bglH	carbohydrate-specific outer membrane porin in cryptic operon
TI83333S003597	b3721	bglB	phospho-beta-glucosidase B; cryptic
TI83333S003598	b3722	bglF	"PTS family enzyme IIBC (N-terminal); enzyme IIA (C-terminal), beta-glucoside-specific, cryptic"
TI83333S003599	b3723	bglG	positive regulation of bgl operon
TI83333S003600	b3724	phoU	negative regulator for pho regulon and putative enzyme in phosphate metabolism
TI83333S003601	b3725	pstB	ATP-binding component of high-affinity phosphate-specific transport system
TI83333S003602	b3726	pstA	"high-affinity phosphate transport protein (ABC superfamily, membrane)"
TI83333S003603	b3727	pstC	"high-affinity phosphate transport protein (ABC superfamily, membrane)"
TI83333S003604	b3728	pstS	"high-affinity phosphate transport protein (ABC superfamily, peri_bind)"
TI83333S003605	b3729	glmS	D-fructose-6-phosphate amidotransferase
TI83333S003606	b3730	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
TI83333S003607	b3731	atpC	ATP synthase subunit epsilon
TI83333S003608	b3732	atpD	ATP synthase subunit B
TI83333S003609	b3733	atpG	ATP synthase subunit C
TI83333S003610	b3734	atpA	ATP synthase subunit A
TI83333S003611	b3735	atpH	ATP synthase subunit D
TI83333S003612	b3736	atpF	ATP synthase subunit B
TI83333S003613	b3737	atpE	ATP synthase subunit C
TI83333S003614	b3738	atpB	ATP synthase subunit A
TI83333S003615	b3739	atpI	ATP synthase subunit I
TI83333S003616	b3740	gidB	glucose-inhibited division protein B
TI83333S003617	b3741	gidA	glucose-inhibited division protein A
TI83333S003618	b3742	mioC	flavodoxin
TI83333S003619	b3743	asnC	"regulator for asnA, asnC and gidA"
TI83333S003620	b3744	asnA	asparagine synthetase AsnA
TI83333S003621	b3745	yieM	hypothetical protein
TI83333S003622	b3746	yieN	putative 2-component regulator
TI83333S003623	b3747	trkD	low affinity potassium transport system
TI83333S003624	b3748	rbsD	D-ribose high-affinity transport system; membrane-associated protein
TI83333S003625	b3749	rbsA	ATP-binding component of D-ribose high-affinity transport system
TI83333S003626	b3750	rbsC	ribose high-affinity ABC transporter permease component
TI83333S003627	b3751	rbsB	D-ribose periplasmic binding protein
TI83333S003628	b3752	rbsK	ribokinase
TI83333S003629	b3753	rbsR	regulator for rbs operon
TI83333S003630	b3754	yieO	putative transport protein (MFS family)
TI83333S003631	b3755	yieP	putative transcriptional regulator
TI83333S003632	b4480		transcriptional regulator HdfR
TI83333S003633	b3764	yifE	putative transcriptional regulator with pssR
TI83333S003634	b3765	yifB	putative 2-component regulator
TI83333S003635	b3766	ilvL	ilvGEDA operon leader peptide
TI83333S003636	b3769	ilvM	"acetolactate synthase II, small subunit"
TI83333S003637	b3770	ilvE	branched-chain amino acid aminotransferase
TI83333S003638	b3771	ilvD	dihydroxy-acid dehydratase
TI83333S003639	b3772	ilvA	threonine dehydratase
TI83333S003640	b3773	ilvY	positive regulator for ilvC
TI83333S003641	b3774	ilvC	ketol-acid reductoisomerase
TI83333S003642	b3775	ppiC	peptidyl-prolyl cis-trans isomerase C (rotamase C)
TI83333S003643	b3776	b3776	hypothetical protein
TI83333S003644	b3777	yifN	hypothetical protein
TI83333S003645	b3778	rep	"Rep helicase, a single-stranded DNA-dependent ATPase"
TI83333S003646	b3779	gpp	"guanosine pentaphosphatase, also has exopolyphosphatase activity"
TI83333S003647	b3780	rhlB	ATP-dependent RNA helicase
TI83333S003648	b3781	trxA	thioredoxin
TI83333S003649	b3782	rhoL	rho operon leader peptide
TI83333S003650	b3783	rho	transcription termination factor Rho
TI83333S003651	b3784	rfe	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase
TI83333S003652	b3785	wzzE	modulator of enterobacterial common antigen (ECA) polysaccharide chain length
TI83333S003653	b3786	wecB	UDP-N-acetyl glucosamine -2-epimerase; synthesis of enterobacterial common antigen (ECA)
TI83333S003654	b3787	rffD	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
TI83333S003655	b3788	rffG	"dTDP-glucose 4,6-dehydratase"
TI83333S003656	b3789	rffH	glucose-1-phosphate thymidylyltransferase
TI83333S003657	b3790	rffC	"putative acyltransferase, lipopolysaccharide biosynthesis protein"
TI83333S003658	b3791	rffA	TDP-4-oxo-6-deoxy-D-glucose transaminase
TI83333S003659	b3792	wzxE	O-antigen translocase in LPS biosynthesis
TI83333S003660	b4481		4-alpha-L-fucosyltransferase
TI83333S003661	b3793	wzyE	putative enterobacterial common antigen polymerase
TI83333S003662	b3794	rffM	putative UDP-N-acetyl-D-mannosaminuronic acid transferase
TI83333S003663	b3795	yifK	putative amino acid/amine transport protein
TI83333S003664	b3800	aslB	putative arylsulfatase regulator
TI83333S003665	b3801	aslA	"acrylsulfatase-like enzyme, posttranslationally activated by AslB"
TI83333S003666	b3802	hemY	a late step of protoheme IX synthesis
TI83333S003667	b3803	hemX	uroporphyrinogen III methylase
TI83333S003668	b3804	hemD	uroporphyrinogen-III synthetase
TI83333S003669	b3805	hemC	porphobilinogen deaminase
TI83333S003670	b3806	cyaA	adenylate cyclase
TI83333S003671	b3807	cyaY	frataxin-like protein
TI83333S003672	b3808	b3808	unknown CDS
TI83333S003673	b3809	dapF	diaminopimelate epimerase
TI83333S003674	b3810	yigA	hypothetical protein
TI83333S003675	b3811	xerC	tyrosine recombinase
TI83333S003676	b3812	yigB	putative enzyme with a phophatase-like domain
TI83333S003677	b3813	uvrD	DNA-dependent ATPase I and helicase II
TI83333S003678	b4482		hypothetical protein
TI83333S003679	b3816	corA	"Mg2+ transport, system I"
TI83333S003680	b3817	yigF	hypothetical protein
TI83333S003681	b3818	yigG	hypothetical protein
TI83333S003682	b3819	rarD	chloramphenicol resistance
TI83333S003683	b3820	yigI	hypothetical protein
TI83333S003684	b3821	pldA	outer membrane phospholipase A
TI83333S003685	b3822	recQ	ATP-dependent DNA helicase
TI83333S003686	b3823	rhtC	amino acid exporter (threonine)
TI83333S003687	b3824	rhtB	"amino acid exporter (homoserine, HSL)"
TI83333S003688	b3825	pldB	lysophospholipase L(2)
TI83333S003689	b3826	yigL	"conserved protein, phosphatase-like domain"
TI83333S003690	b3827	yigM	putative transport protein
TI83333S003691	b3828	metR	regulator for metE and metH
TI83333S003692	b3829	metE	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase
TI83333S003693	b3830	ysgA	putative dienelactone hydrolase
TI83333S003694	b3831	udp	uridine phosphorylase
TI83333S003695	b3832	rmuC	putative alpha helix chain
TI83333S003696	b3833	ubiE	ubiquinone/menaquinone biosynthesis methyltransferase
TI83333S003697	b3834	yigP	hypothetical protein
TI83333S003698	b3835	ubiB	putative ubiquinone biosynthesis protein UbiB
TI83333S003699	b3836	tatA	twin argininte translocase protein A
TI83333S003700	b3838	tatB	sec-independent translocase
TI83333S003701	b3839	tatC	component of Sec-independent translocase
TI83333S003702	b4483		cytoplasmic Dnase
TI83333S003703	b3842	rfaH	transcriptional activator RfaH
TI83333S003704	b3843	ubiD	3-octaprenyl-4-hydroxybenzoate decarboxylase
TI83333S003705	b3844	fre	NAD(P)H-flavin reductase
TI83333S003706	b3845	fadA	acetyl-CoA acetyltransferase
TI83333S003707	b3846	fadB	4-enzyme protein: 3-hydroxyacyl-CoA dehydrogenase; 3-hydroxybutyryl-CoA epimerase; delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase; enoyl-CoA hydratase
TI83333S003708	b3847	pepQ	proline dipeptidase
TI83333S003709	b3848	yigZ	putative elongation factor
TI83333S003710	b3849	trkH	"potassium transport protein, requires TrkE (Trk family)"
TI83333S003711	b3850	hemG	protoporphyrin flavoprotein oxidase
TI83333S003712	b3856	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B
TI83333S003713	b3857	mobA	molybdopterin-guanine dinucleotide biosynthesis protein A
TI83333S003714	b3858	yihD	hypothetical protein
TI83333S003715	b3859	rdoA	hypothetical protein
TI83333S003716	b3860	dsbA	periplasmic protein disulfide isomerase I
TI83333S003717	b3861	yihF	putative GTP-binding protein
TI83333S003718	b3862	dpbA	putative endonuclease
TI83333S003719	b3863	polA	DNA polymerase I
TI83333S003720	b3865	yihA	GTP-binding protein
TI83333S003721	b3866	yihI	hypothetical protein
TI83333S003722	b3867	hemN	coproporphyrinogen III oxidase
TI83333S003723	b3868	glnG	"response regulator for gln (sensor glnL) (nitrogen regulator I, NRI)"
TI83333S003724	b3869	glnL	"histidine protein kinase sensor for GlnG regulator (nitrogen regulator II, NRII)"
TI83333S003725	b3870	glnA	glutamine synthetase
TI83333S003726	b3871	typA	GTP-binding elongation factor family protein
TI83333S003727	b3872	yihL	putative transcriptional regulator
TI83333S003728	b3873	yihM	hypothetical protein
TI83333S003729	b3874	yihN	putative resistance protein (transport)
TI83333S003730	b3875	ompL	hypothetical protein
TI83333S003731	b3876	yihO	putative permease
TI83333S003732	b3877	yihP	putative permease
TI83333S003733	b3878	yihQ	putative alpha-xylosidase
TI83333S003734	b3879	yihR	putative aldose-1-epimerase
TI83333S003735	b3880	yihS	hypothetical protein
TI83333S003736	b3881	yihT	putative aldolase
TI83333S003737	b3882	yihU	putative dehydrogenase
TI83333S003738	b3883	yihV	putative kinase
TI83333S003739	b3884	yihW	putative DEOR-type transcriptional regulator
TI83333S003740	b3885	yihX	phosphatase
TI83333S003741	b3886	rbn	ribonuclease BN
TI83333S003742	b3887	dtd	D-tyrosyl-tRNA deacylase
TI83333S003743	b3888	yiiD	putative acetyltransferase
TI83333S003744	b3889	yiiE	unknown CDS
TI83333S003745	b3890	yiiF	unknown CDS
TI83333S003746	b3891	fdhE	formate dehydrogenase accessory protein FdhE
TI83333S003747	b3892	fdoI	"formate dehydrogenase, cytochrome B556 (FDO) subunit"
TI83333S003748	b3893	fdoH	"formate dehydrogenase-O, Fe-S subunit"
TI83333S003749	b3894	fdoG	"formate dehydrogenase-O, major subunit"
TI83333S003750	b3895	fdhD	formate dehydrogenase accessory protein
TI83333S003751	b3896	yiiG	hypothetical protein
TI83333S003752	b3897	frvR	putative frv operon regulatory protein
TI83333S003753	b3898	frvX	frv operon protein
TI83333S003754	b3899	frvB	"PTS family enzyme IIBC, fructose-specific"
TI83333S003755	b3900	frvA	"PTS family enzyme IIA, fructose-specific"
TI83333S003756	b3901	yiiL	hypothetical protein
TI83333S003757	b3902	rhaD	rhamnulose-1-phosphate aldolase
TI83333S003758	b3903	rhaA	L-rhamnose isomerase
TI83333S003759	b3904	rhaB	rhamnulokinase
TI83333S003760	b3905	rhaS	positive regulator for rhaBAD operon
TI83333S003761	b3906	rhaR	positive regulator for rhaRS operon
TI83333S003762	b3907	rhaT	L-rhamnose:H+ symporter (DMT superfamily)
TI83333S003763	b3908	sodA	"superoxide dismutase, manganese"
TI83333S003764	b3909	kdgT	2-keto-3-deoxygluconate permease
TI83333S003765	b3910	yiiM	hypothetical protein
TI83333S003766	b3911	cpxA	two-component sensor protein
TI83333S003767	b3912	cpxR	"response regulator in two-component regulatory system with CpxA, regulates expression of stress-related genes (OmpR family)"
TI83333S003768	b4484		periplasmic repressor of cpx regulon by interaction with CpxA
TI83333S003769	b3915	fieF	ferrous iron efflux protein F
TI83333S003770	b3916	pfkA	6-phosphofructokinase
TI83333S003771	b3917	sbp	periplasmic sulfate-binding protein
TI83333S003772	b3918	cdh	CDP-diacylglycerol pyrophosphatase
TI83333S003773	b3919	tpiA	triosephosphate isomerase
TI83333S003774	b3920	yiiQ	hypothetical protein
TI83333S003775	b3921	yiiR	hypothetical protein
TI83333S003776	b3922	yiiS	hypothetical protein
TI83333S003777	b3923	uspD	putative regulator
TI83333S003778	b3924	fpr	ferredoxin-NADP reductase
TI83333S003779	b3925	glpX	"fructose 1,6-bisphosphatase II"
TI83333S003780	b3926	glpK	glycerol kinase
TI83333S003781	b3927	glpF	"MIP channel, glycerol diffusion"
TI83333S003782	b3928	yiiU	hypothetical protein
TI83333S003783	b3929	menG	ribonuclease activity regulator protein RraA
TI83333S003784	b3930	menA	"1,4-dihydroxy-2-naphthoate octaprenyltransferase,"
TI83333S003785	b3931	hslU	ATP-dependent protease ATP-binding subunit
TI83333S003786	b3932	hslV	ATP-dependent protease peptidase subunit
TI83333S003787	b3933	ftsN	essential cell division protein
TI83333S003788	b3934	cytR	"regulator for deo operon, udp, cdd, tsx, nupC, and nupG"
TI83333S003789	b3935	priA	primosome assembly protein PriA
TI83333S003790	b3936	rpmE	50S ribosomal subunit protein L31
TI83333S003791	b3937	yiiX	hypothetical protein
TI83333S003792	b3938	metJ	transcriptional repressor protein MetJ
TI83333S003793	b3939	metB	cystathionine gamma-synthase
TI83333S003794	b3940	metL	bifunctional aspartate kinase II/homoserine dehydrogenase II
TI83333S003795	b3941	metF	"5,10-methylenetetrahydrofolate reductase"
TI83333S003796	b3942	katG	catalase; hydroperoxidase HPI(I)
TI83333S003797	b3943	yijE	hypothetical protein
TI83333S003798	b3944	yijF	hypothetical protein
TI83333S003799	b3945	gldA	glycerol dehydrogenase
TI83333S003800	b3946	fsaB	fructose-6-phosphate aldolase
TI83333S003801	b3947	ptsA	PEP-protein phosphotransferase system enzyme I
TI83333S003802	b3949	frwC	"PTS family enzyme IIC, fructose-mannitol-specific"
TI83333S003803	b3950	frwB	"PTS family enzyme IIB, fructose-mannitol-specific"
TI83333S003804	b3951	pflD	formate acetyltransferase 2
TI83333S003805	b3952	pflC	probable pyruvate formate lyase activating enzyme 2
TI83333S003806	b3953	frwD	"PTS family enzyme IIB, fructose-mannose-specific"
TI83333S003807	b3954	yijO	putative ARAC-type regulatory protein
TI83333S003808	b3955	yijP	protein required for invasion of brain microvascular endothelial cells
TI83333S003809	b3956	ppc	phosphoenolpyruvate carboxylase
TI83333S003810	b3957	argE	acetylornithine deacetylase
TI83333S003811	b3958	argC	N-acetyl-gamma-glutamyl-phosphate reductase
TI83333S003812	b3959	argB	acetylglutamate kinase
TI83333S003813	b3960	argH	argininosuccinate lyase
